Sub-Category,Total_Sales,Avg_Order_Value,Sales_Volatility,Growth_Rate,Cluster,Demand Segment
Accessories,164186.7,3420.55625,2579.99480907113,0.5010518236247017,0,High Demand
Appliances,104618.403,2179.5500625,1821.6215390281989,1.3892297137354928,1,Medium Demand
Art,26705.41,556.3627083333333,330.4883427284576,0.5158539878498883,1,Medium Demand
Binders,200028.785,4167.266354166667,3848.2236478754908,1.2359253315454162,0,High Demand
Bookcases,113813.1987,2474.1999717391304,2220.4050797251753,1.153687961472294,1,Medium Demand
Chairs,322822.731,6725.4735625,4407.232959811409,1.0561012850108598,0,High Demand
Copiers,146248.094,4570.2529375,5500.774390527093,1.891639037621884,0,High Demand
Envelopes,16128.046,350.6096956521739,228.21868781596007,1.7862664356378644,1,Medium Demand
Fasteners,3001.96,63.87148936170213,48.74222863268981,1.147379040963309,1,Medium Demand
Furnishings,89212.018,1858.5837083333333,1360.0178672616057,0.5524910562446975,1,Medium Demand
Labels,12347.726,257.2442916666667,223.47121839221342,1.1407531278992673,1,Medium Demand
Machines,189238.631,4852.272589743589,5603.554746739796,3.589895913616819,0,High Demand
Paper,76828.304,1600.5896666666667,1024.8249818349852,0.5326812204869761,1,Medium Demand
Phones,327782.44800000003,6828.801,4052.718220520821,0.46555130869210465,0,High Demand
Storage,219343.392,4569.6539999999995,2822.0843101166624,0.956524627280204,0,High Demand
Supplies,46420.308,1055.0069999999998,2025.0941389159009,23.231404630396728,2,Low Demand
Tables,202810.628,4225.221416666666,3224.082504460717,0.48932049220372853,0,High Demand
